team_name,name,maps,kd,rating
3dmax,Lucky,17,1.06,1.03
3dmax,Ex3rcice,17,0.94,1.0
3dmax,Maka,17,0.97,0.98
3dmax,bodyy,17,0.85,0.97
3dmax,Graviti,17,0.89,0.95
astralis,stavn,39,1.15,1.14
astralis,device,39,1.19,1.11
astralis,Staehr,39,0.96,1.01
astralis,jabbi,39,0.89,0.93
astralis,HooXi,10,0.9,0.99
aurora,XANTARES,24,1.15,1.17
aurora,woxic,24,1.14,1.06
aurora,Wicadia,24,0.99,1.05
aurora,jottAAA,24,1.03,1.0
aurora,MAJ3R,24,0.8,0.87
b8,npl,58,1.11,1.14
b8,headtr1ck,58,1.18,1.08
b8,alex666,58,1.02,1.03
b8,kensizor,58,0.89,1.03
b8,esenthial,58,1.04,1.02
betboom,Magnojez,45,1.08,1.17
betboom,zorte,45,1.25,1.16
betboom,S1ren,45,1.07,1.07
betboom,Ax1Le,45,0.97,1.02
betboom,Boombl4,45,0.83,0.94
betclic,hypex,17,1.07,1.01
betclic,jcobbb,17,0.88,0.95
betclic,Demho,17,0.88,0.92
betclic,Prism,17,0.79,0.91
betclic,hfah,17,0.75,0.83
big,hyped,31,1.08,1.02
big,JDC,31,0.93,0.98
big,Krimbo,31,0.95,0.96
big,kyuubii,31,0.82,0.93
big,tabseN,31,0.78,0.91
complexity,Grim,33,1.18,1.21
complexity,hallzerk,33,1.23,1.18
complexity,Cxzi,33,1.04,1.13
complexity,JT,33,0.95,0.99
complexity,nicx,33,0.99,0.97
falcons,m0NESY,28,1.38,1.2
falcons,NiKo,56,1.11,1.15
falcons,TeSeS,56,1.0,1.05
falcons,kyxsan,56,0.88,0.97
falcons,Magisk,56,0.9,0.95
faze,frozen,39,1.13,1.11
faze,EliGE,39,1.04,1.09
faze,rain,39,0.94,1.0
faze,karrigan,39,0.82,0.88
faze,broky,39,1.14,1.05
flyquest,regali,19,1.19,1.1
flyquest,nettik,19,1.0,1.06
flyquest,Vexite,19,0.87,0.93
flyquest,INS,19,0.78,0.91
flyquest,Liazz,19,0.81,0.86
furia,KSCERATO,25,1.21,1.16
furia,yuurih,25,1.1,1.11
furia,YEKINDAR,11,1.01,1.1
furia,molodoy,11,1.17,1.08
furia,FalleN,25,0.99,0.98
g2,HeavyGod,35,1.26,1.15
g2,malbsMd,35,0.97,1.07
g2,huNter-,24,1.11,1.05
g2,hades,11,1.14,1.03
g2,Snax,35,0.9,0.94
gamerlegion,REZ,37,1.07,1.11
gamerlegion,PR,37,1.01,1.07
gamerlegion,Tauson,37,1.03,1.03
gamerlegion,sl3nd,37,0.97,0.97
gamerlegion,ztr,37,0.85,0.89
heroic,tN1R,27,1.35,1.26
heroic,SunPayus,27,1.46,1.26
heroic,xfl0ud,27,1.09,1.2
heroic,yxngstxr,27,1.05,1.06
heroic,LNZ,27,0.99,1.01
legacy,latto,23,1.16,1.12
legacy,dumau,23,1.11,1.1
legacy,lux,23,0.99,1.05
legacy,saadzin,23,1.17,1.03
legacy,n1ssim,23,0.9,0.93
liquid,Twistzz,26,1.12,1.1
liquid,ultimate,26,1.01,1.02
liquid,NertZ,26,0.93,1.02
liquid,siuhy,19,0.79,0.87
liquid,NAF,26,0.83,0.86
m80,Lake,27,0.97,1.06
m80,slaxz-,27,1.13,1.06
m80,s1n,27,0.99,1.03
m80,Swisher,27,0.89,0.97
m80,reck,27,0.93,0.94
mibr,insani,18,0.97,1.07
mibr,saffee,18,1.01,0.97
mibr,Lucaozy,18,0.89,0.91
mibr,brnz4n,18,0.88,0.9
mibr,exit,18,0.93,0.88
mouz,xertioN,41,1.0,1.12
mouz,torzsi,41,1.26,1.07
mouz,Spinx,41,1.06,1.06
mouz,Jimpphat,41,1.11,1.03
mouz,Brollan,41,0.82,0.9
natus-vincere,jL,29,0.94,1.03
natus-vincere,w0nderful,29,1.06,1.03
natus-vincere,iM,29,0.98,1.02
natus-vincere,b1t,29,0.96,1.0
natus-vincere,Aleksib,29,0.9,0.95
ninjas-in-pyjamas,sjuush,29,1.2,1.18
ninjas-in-pyjamas,r1nkle,29,1.3,1.17
ninjas-in-pyjamas,ewjerkz,29,0.88,0.97
ninjas-in-pyjamas,arrozdoce,29,0.89,0.96
ninjas-in-pyjamas,Snappi,29,0.79,0.9
oddik,ksloks,15,1.11,1.08
oddik,pancc,15,1.0,1.01
oddik,naitte,15,0.83,0.9
oddik,WOOD7,15,0.88,0.89
oddik,matios,15,0.76,0.83
pain,dgt,9,1.1,1.02
pain,dav1deuS,25,0.91,0.99
pain,nqz,25,1.04,0.99
pain,biguzera,21,0.88,0.95
pain,snow,25,0.78,0.84
saw,story,18,1.03,1.01
saw,Ag1l,18,0.95,0.96
saw,cej0t,18,0.88,0.96
saw,AZUWU,18,0.94,0.93
saw,MUTiRiS,18,0.74,0.85
spirit,donk,32,1.5,1.47
spirit,sh1ro,32,1.56,1.29
spirit,zont1x,32,1.1,1.09
spirit,magixx,32,1.0,1.01
spirit,chopper,32,0.76,0.87
the-mongolz,Senzu,44,1.03,1.06
the-mongolz,910,44,1.04,1.03
the-mongolz,mzinho,44,0.97,1.01
the-mongolz,bLitz,44,0.92,1.0
the-mongolz,Techno,44,0.81,0.88
tyloo,JamYoung,27,1.13,1.18
tyloo,Mercury,27,1.18,1.17
tyloo,Moseyuh,27,1.1,1.11
tyloo,Jee,27,1.16,1.06
tyloo,Attacker,27,0.95,0.99
virtuspro,FL1T,38,1.14,1.09
virtuspro,fame,38,0.93,0.99
virtuspro,ICY,38,1.17,0.99
virtuspro,FL4MUS,38,0.92,0.96
virtuspro,electroNic,38,0.82,0.88
vitality,ZywOo,45,1.43,1.38
vitality,ropz,45,1.31,1.21
vitality,flameZ,45,1.09,1.14
vitality,mezii,45,1.06,1.07
vitality,apEX,45,0.93,1.03
wildcard,phzy,16,1.17,1.12
wildcard,Sonic,18,0.96,1.02
wildcard,JBa,18,0.94,0.98
wildcard,susp,18,0.81,0.94
wildcard,stanislaw,18,0.58,0.7
